organization_id,email_value,use,is_valid,validation_error,sequence,organization_original_id,created_at
5c0aa2c6-8578-583d-ac18-026fe2c46fd1,support@aarista.com,,True,,0,idFA6NjJ01p.WnqGN2lfXufQ,2025-10-27T22:34:50.112411
374c4b9d-0a3f-57df-8415-611f25928f68,admin@dynamichealthit.com,,True,,1,idQNdE67ik-xDG8Lhbhat7fw,2025-10-28T01:44:38.457335
ec2c1d4f-002c-5330-b46e-2a0c4f4a8fa8,cloudcraftsupport@naiacorp.net,,True,,0,BasePractice,2025-10-28T01:49:33.085105
64a7b442-9558-51ad-9f78-33e5fab18fca,cloudcraftsupport@naiacorp.net,,True,,0,2741665924,2025-10-28T01:49:33.177586
c81f6d00-0d2a-5625-afd9-080a39bc7c69,salernopediatric@gmail.com,,True,,2,CMD-CM0CX-Organization-2,2025-10-28T01:50:18.666790
6152dbac-23e6-5106-bbcc-185be8058912,info@endocrinenyc.com,,True,,2,CMD-CMDUI-Organization-3,2025-10-28T01:50:19.392286
2e36b627-771e-51b3-94c6-e06ac89ca29e,t.s.windassociates@verizon.net,,True,,2,CMD-CMZCC-Organization-2,2025-10-28T01:50:19.656708
0a6cea4f-5d04-57c0-ba5b-2e59ad7384de,m.orbuch@icloud.com,,True,,2,CMD-CM09M-Organization-3,2025-10-28T01:50:19.744853
714208cb-5fbe-5856-842d-9a079ae73d0c,pohfm2020@gmail.com,,True,,2,CMD-CMDPN-Organization-2,2025-10-28T01:50:19.925700
ba744787-3ac2-521f-b144-e341f0cb542f,info@physicianstoyou.com,,True,,2,CMD-CM0LK-Organization-2,2025-10-28T01:50:20.277419
254ed587-8685-52d5-9710-b9a983106cd8,rdarrison@fwperinatal.com,,True,,2,CMD-CM07P-Organization-2,2025-10-28T01:50:20.984251
6a5d024b-6d4a-5101-8867-29be9816f9a9,syono@premierneurologycenter.com,,True,,2,CMD-CM0GA-Organization-2,2025-10-28T01:50:21.249778
71869c83-5ae9-56e9-b7a6-015a8659c2bc,dririsorbuch@drorbuch.com,,True,,2,CMD-CM09J-Organization-2,2025-10-28T01:50:21.514808
40dc0eaa-5f7a-5a46-8f41-1fe92fc5ecfc,metroanklefoot@gmail.com,,True,,2,CMD-CM0A7-Organization-2,2025-10-28T01:50:21.669389
d236e518-daa0-5722-b4fc-eb608eadbbc9,advdermmichael@gmail.com,,True,,2,CMD-CM0HB-Organization-2,2025-10-28T01:50:21.756847
3ce0a135-8a3e-5f4b-ab75-5c3fdcf66b22,office@regenpainclinic.com,,True,,2,CMD-CM0LZ-Organization-2,2025-10-28T01:50:21.847162
064197f1-b4ec-554a-a8ec-0c572973c02c,footanklecenterfl@comcast.net,,True,,2,CMD-CM0SU-Organization-2,2025-10-28T01:50:22.621504
9e7d0067-18ed-59de-823b-2052058fc2b1,ilana_bilik@hotmail.com,,True,,2,CMD-CM0FK-Organization-2,2025-10-28T01:50:22.885125
54ec3256-cf10-5533-b2c0-85089f836263,Staff@CurrentNYDoctor.com,,True,,2,CMD-CM001-Organization-9,2025-10-28T01:50:23.924235
bac55e7a-00bc-5474-9ce7-95a2768c229b,beasow7@gmail.com,,True,,2,CMD-CM10T-Organization-2,2025-10-28T01:50:24.186085
15263b46-09f6-59b9-a0e9-160b0abd6cae,info@brivaderm.com,,True,,1,CMD-CM0SW-Organization-2,2025-10-28T01:50:24.957420
2e1498d4-23f6-57fb-a21c-95c05975e907,frontdesk@stevenschnippermd.com,,True,,2,CMD-CMZLE-Organization-3,2025-10-28T01:50:25.706983
57004088-6f02-537e-b089-f9c60f2cbb9a,advancemedical795@gmail.com,,True,,2,CMD-CMDAN-Organization-3,2025-10-28T01:50:26.250868
0561b0fd-5a08-50e2-a051-d76fb819a7e1,loriselander829@aol.com,,True,,2,CMD-CMAWS-Organization-2,2025-10-28T01:50:26.519351
4dbc7114-bf49-541d-a14f-899385b4b134,joshweinstein@aol.com,,True,,2,CMD-CMDUJ-Organization-3,2025-10-28T01:50:26.607265
34b7eeb3-28ea-55bf-bcc3-d0d6fca066e3,jania.diaz@nyumc.org,,True,,2,CMD-CMZJJ-Organization-6,2025-10-28T01:50:27.835583
9f598186-8436-56ce-a3d4-3d72a62ddff7,asnawellnessobgyn@gmail.com,,True,,2,CMD-CM03J-Organization-3,2025-10-28T01:50:27.926038
cd59e767-88c5-51dd-b95c-0d799f132897,contact@compobgynnj.com,,True,,2,CMD-CMZME-Organization-4,2025-10-28T01:50:28.016292
49484db4-af03-5bb2-bffe-731cdf4e46f0,EliteNephrology@icloud.com,,True,,2,CMD-CM0WY-Organization-2,2025-10-28T01:50:28.370949
46433ef2-76c4-5f07-9ced-07959dc9bfae,drbowers@pivotalinjury.com,,True,,2,CMD-CM0Z4-Organization-2,2025-10-28T01:50:28.723959
926d5c64-261e-5c44-a7d5-02310187f453,info@valkyrieclinicaltrials.com,,True,,2,CMD-CM14K-Organization-2,2025-10-28T01:50:29.064092
36ebf44e-7be8-5b8d-afe8-5f8b505501c0,info@pearlhealth.org,,True,,2,CMD-CM0HF-Organization-2,2025-10-28T01:50:29.217858
268f3983-bb9b-5afe-93e8-0dac664df92e,Bridgeportfamilymedicine@gmail.com,,True,,2,CMD-CM0GE-Organization-2,2025-10-28T01:50:29.713330
99fb2906-a2a3-5287-85a5-a5980e66635b,Info@morledgemedical.com,,True,,2,CMD-CM0BD-Organization-2,2025-10-28T01:50:30.084088
fc7abac7-2f28-5536-a26e-987293ccaa63,admin@primarycareanywhere.com,,True,,2,CMD-CM0XK-Organization-2,2025-10-28T01:50:30.262694
347f702c-f5e3-52ed-82f1-011fb382d805,kellie@pcspineandsports.com,,True,,2,CMD-CMZCW-Organization-2,2025-10-28T01:50:30.511957
c3cdf041-db9a-5c8e-bccc-b4dab434db19,ccchiro146@outlook.com,,True,,2,CMD-CMZGO-Organization-2,2025-10-28T01:50:30.598350
d44cccac-e14c-57ad-9e75-c27639f7d7f7,MD@MYFAMILYDOCTORPA.COM,,True,,2,CMD-CM0SP-Organization-2,2025-10-28T01:50:30.685466
fea34cdd-0e05-5cb8-a71b-94527410ca2a,qms.slodha@gmail.com,,True,,2,CMD-CMOVT-Organization-3,2025-10-28T01:50:31.111895
2a866db2-6cc8-5756-a674-c069e3752552,info@gaffneyhealthservices.com,,True,,2,CMD-CM0J9-Organization-2,2025-10-28T01:50:31.443942
bd42061a-7bf7-5691-97a9-bde5677595e3,Deb8Riv@aol.com,,True,,2,CMD-CMZFF-Organization-2,2025-10-28T01:50:32.065820
f3ae3763-0ce6-54b6-b07e-8e930d532dc7,cspm@cspmvb.com,,True,,2,CMD-CM0P4-Organization-2,2025-10-28T01:50:32.954461
e151799b-9f66-5177-9ed2-3813ad97b9e3,pkprahalad@comcast.net,,True,,2,CMD-CMZFE-Organization-2,2025-10-28T01:50:33.132864
6afca65c-1ac0-555f-95f5-ccc383a42ae6,info@brooklynveindoc.com,,True,,2,CMD-CMDZM-Organization-3,2025-10-28T01:50:33.219793
95e1251d-47ee-5f4b-ad11-ef737401a697,jpc.drshukla@janiceprimecare.org,,True,,2,CMD-CMDJA-Organization-3,2025-10-28T01:50:33.746186
27a70111-1ab3-5aaa-8a07-22b7682049f5,cothrend@mychoicehousecalls.com,,True,,2,CMD-CMOVW-Organization-3,2025-10-28T01:50:34.009299
f4d68af5-78a3-5763-909e-fa2c253c8a20,michellemelanie@comcast.net,,True,,2,CMD-CM0E9-Organization-2,2025-10-28T01:50:34.373123
384cb83d-dceb-5a4d-85fd-779d8efdd52b,info@emshousecall.com,,True,,2,CMD-CM0LL-Organization-2,2025-10-28T01:50:34.707382
b1725040-e331-5213-a13b-1cf5168b832f,info@mxbowenppc.com,,True,,2,CMD-CM0N3-Organization-2,2025-10-28T01:50:35.335493
44c9c14e-1708-5d07-9199-8c4599214990,AKKILALI_MDPA@YAHOO.COM,,True,,2,CMD-CMDAK-Organization-3,2025-10-28T01:50:35.789473
20d2a481-b32e-5ce2-8ce0-fc68b4e5357b,MFOX@VNASTL.ORG,,True,,2,CMD-CM0MT-Organization-2,2025-10-28T01:50:36.322165
773b1eac-b3e1-541f-96b4-b961e5ac4938,prbh21@outlook.com,,True,,2,CMD-CM11Y-Organization-2,2025-10-28T01:50:36.411906
351b6385-d031-582f-a47e-2cadc5408ad1,qmg2916161@yahoo.com,,True,,2,CMD-CMDQG-Organization-3,2025-10-28T01:50:36.764572
ef565f05-b99e-595c-a7dd-b8ae9cd33703,ginadchappie@comcast.net,,True,,2,CMD-CMDH8-Organization-2,2025-10-28T01:50:37.033005
